Linux 6.11.0-9-generic (ubuntu-s-1vcpu-2gb-ams3-01) 	11/10/24 	_x86_64_	(1 CPU)

19:10:04        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:10:05        all      1.94      0.00      1.94      3.88      5.83     86.41
19:10:06        all      0.98      0.00      0.98      0.00      2.94     95.10
19:10:07        all      0.00      0.00      0.00      0.00      3.96     96.04
19:10:08        all      3.96      0.00      2.97      0.99      2.97     89.11
19:10:09        all      6.60      0.00      4.72      0.00      7.55     81.13
19:10:10        all      6.12      0.00      3.06      0.00      3.06     87.76
19:10:11        all      7.00      0.00      4.00      0.00      3.00     86.00
19:10:12        all      6.93      0.00      2.97      0.00      2.97     87.13
19:10:13        all      6.12      0.00      4.08      0.00      0.00     89.80
19:10:14        all      6.12      0.00      3.06      0.00      1.02     89.80
19:10:15        all      6.12      0.00      3.06      0.00      0.00     90.82
19:10:16        all      5.10      0.00      5.10      0.00      0.00     89.80
19:10:17        all      6.06      0.00      4.04      0.00      1.01     88.89
19:10:18        all      7.07      0.00      3.03      0.00      1.01     88.89
19:10:19        all      6.19      0.00      3.09      0.00      0.00     90.72
19:10:20        all      6.06      0.00      3.03      0.00      1.01     89.90
19:10:21        all      8.00      0.00      3.00      0.00      1.00     88.00
19:10:22        all      6.19      0.00      3.09      0.00      0.00     90.72
19:10:23        all      6.00      0.00      4.00      0.00      0.00     90.00
19:10:24        all      6.19      0.00      2.06      0.00      0.00     91.75
19:10:25        all      6.06      0.00      3.03      0.00      0.00     90.91
19:10:26        all      6.12      0.00      3.06      1.02      0.00     89.80
19:10:27        all      5.94      0.00      3.96      0.00      0.99     89.11
19:10:28        all      5.15      0.00      3.09      0.00      0.00     91.75
19:10:29        all      6.12      0.00      3.06      0.00      0.00     90.82
19:10:30        all      7.07      0.00      4.04      0.00      0.00     88.89
19:10:31        all      6.00      0.00      4.00      0.00      2.00     88.00
19:10:32        all      6.19      0.00      3.09      0.00      0.00     90.72
19:10:33        all      4.95      0.00      2.97      0.00      0.99     91.09
19:10:34        all      1.03      0.00      1.03      0.00      0.00     97.94
19:10:35        all      1.01      0.00      0.00      1.01      0.00     97.98
19:10:36        all      0.00      0.00      1.01      0.00      0.00     98.99
19:10:37        all      2.04      0.00      1.02      0.00      0.00     96.94
19:10:38        all     60.00      0.00      8.00      0.00      0.00     32.00
